title,director,cast,rating,duration_minutes,description,year,imdb_rating,imdb_votes
My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha","Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy, Ken Jeong, Elizabeth Perkins, Jane Krakowski, Michael McKean, Phil LaMarr",PG,91,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",2021,6.8,4730
The Starling,Theodore Melfi,"Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor",PG-13,104,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,2021,6.4,15804
Je Suis Karl,Christian Schwochow,"Luna Wedler, Jannis Niewöhner, Milan Peschel, Edin Hasanović, Anna Fialová, Marlon Boess, Victor Boccard, Fleur Geffrier, Aziz Dyab, Mélanie Fouché, Elizaveta Maximová",TV-MA,127,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",2021,5.6,1624
Confessions of an Invisible Girl,Bruno Garotti,"Klara Castanho, Lucca Picon, Júlia Gomes, Marcus Bessa, Kiria Malheiros, Fernanda Concon, Gabriel Lima, Caio Cabral, Leonardo Cidade, Jade Cardozo",TV-PG,91,"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",2021,5.3,1438
Intrusion,Adam Salky,"Freida Pinto, Logan Marshall-Green, Robert John Burke, Megan Elisabeth Kelly, Sarah Minnich, Hayes Hargrove, Mark Sivertsen, Brandon Fierro, Antonio Valles, Clint Obenchain",TV-14,94,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.",2021,5.3,22287
Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore","Maisie Benson, Paul Killam, Kerry Gudjohnsen, AC Lim",TV-Y,61,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!",2021,,64
Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary","Abhishek Banerjee, Rinku Rajguru, Delzad Hiwale, Kunal Kapoor, Zoya Hussain, Nikhil Dwivedi, Palomi Ghosh",TV-14,111,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",2021,5.6,1029
The Father Who Moves Mountains,Daniel Sandu,"Adrian Titieni, Elena Purea, Judith State, Valeriu Andriuță, Tudor Smoleanu, Virgil Aioanei, Radu Botar, Petronela Grigorescu, Bogdan Nechifor, Cristian Bota",TV-MA,110,"When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him.",2021,5.6,4290
The Stronghold,Cédric Jimenez,"Gilles Lellouche, Karim Leklou, François Civil, Adèle Exarchopoulos, Kenza Fortas, Cyril Lecomte, Michaël Abiteboul, Idir Azougli, Vincent Darmuzey, Jean-Yves Berteloot",TV-MA,105,"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.",2020,6.9,14357
My Heroes Were Cowboys,Tyler Greco,,PG,23,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.",2021,6.7,373
Nightbooks,David Yarovesky,"Winslow Fegley, Lidya Jewett, Krysten Ritter",TV-PG,103,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.,2021,5.8,10842
Schumacher,"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech",Michael Schumacher,TV-14,113,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.",2021,7.4,26033
A StoryBots Space Adventure,David A. Vargas,"Evan Spiridellis, Erin Fitzgerald, Jeff Gill, Fred Tatasciore, Evan Michael Lee, Jared Isaacman, Sian Proctor, Chris Sembroski, Hayley Arceneaux",TV-Y,13,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.,2021,,20
You vs. Wild: Out Cold,Ben Simms,"Bear Grylls, Jason Derek Prempeh",TV-G,106,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.",2021,5.4,457
Kate,Cedric Nicolas-Troyan,"Mary Elizabeth Winstead, Jun Kunimura, Woody Harrelson, Tadanobu Asano, Miyavi, Michiel Huisman, Miku Martineau",R,106,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.",2021,6.2,72416
Prey,Thomas Sieben,"David Kross, Hanno Koffler, Maria Ehrich, Robert Finster, Yung Ngo, Klaus Steinbacher, Livia Matthes, Nellie Thalbach",TV-MA,87,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.,2022,7.1,243640
Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,"Malcolm X, Muhammad Ali",PG-13,96,"From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals.",2021,6.9,1255
The Women and the Murderer,"Mona Achache, Patricia Tourancheau",,TV-14,92,This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.,2021,6.4,1629
JJ+E,Alexis Almström,"Elsa Öhrn, Mustapha Aarab, Jonay Pineda Skallak, Magnus Krepper, Loreen, Albin Grenholm, Simon Mezher, Elsa Bergström Terent, Josef Kadim, Yohannes Frezgi",TV-MA,91,"Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?",2021,5.4,2555
Untold: Breaking Point,"Chapman Way, Maclain Way",,TV-MA,80,"Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court.",2021,7.6,3394
Worth,Sara Colangelo,"Michael Keaton, Stanley Tucci, Amy Ryan, Shunori Ramanathan, Ato Blankson-Wood, Tate Donovan, Laura Benanti, Chris Tardio",PG-13,119,"In the wake of the Sept. 11 attacks, a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events.",2020,6.8,19526
Afterlife of the Party,Stephen Herek,"Victoria Justice, Midori Francis, Robyn Scott, Adam Garcia, Timothy Renouf, Gloria Garcia, Myfanwy Waring, Spencer Sutherland",TV-PG,110,Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings.,2021,5.8,11032
Final Account,Luke Holland,,PG-13,94,This documentary stitches together never-before-seen interviews with the last living generation of people who participated in Hitler's Third Reich.,2020,7.3,1791
He's All That,Mark Waters,"Addison Rae, Tanner Buchanan, Rachael Leigh Cook, Madison Pettis, Isabella Crovetti, Matthew Lillard, Peyton Meyer, Annie Jacob, Myra Molloy, Kourtney Kardashian",TV-14,92,"An influencer specializing in makeovers bets she can transform an unpopular classmate into prom king in this remake of the teen classic ""She's All That.""",2021,4.4,29788
SAS: Rise of the Black Swan,Magnus Martens,"Sam Heughan, Ruby Rose, Andy Serkis, Hannah John-Kamen, Tom Wilkinson, Tom Hopper, Noel Clarke, Anne Reid, Owain Yeoman, Jing Lusi, Ray Panthaki, Richard McCabe, Douglas Reith",R,124,"A special forces operative traveling from London to Paris with his girlfriend takes action when armed, ruthless mercenaries seize control of their train.",2021,5.3,22134
"Bob Ross: Happy Accidents, Betrayal & Greed",Joshua Rofé,Bob Ross,TV-14,93,Bob Ross brought joy to millions as the world’s most famous art instructor. But a battle for his business empire cast a shadow over his happy trees.,2021,6.9,6911
The River Runner,Rush Sturges,,TV-MA,86,"In this documentary, a kayaker sets out to become the first man to paddle the four great rivers that flow from Tibet's sacred Mount Kailash.",2021,6.9,2116
The Water Man,David Oyelowo,"David Oyelowo, Rosario Dawson, Lonnie Chavis, Amiah Miller, Alfred Molina, Maria Bello",PG,92,"Desperate to save his ailing mother, 11-year-old Gunner runs away from home on a quest to find a mythic figure rumored to have the power to cheat death.",2020,5.6,4735
Count Me In,Mark Lo,,TV-MA,82,This documentary features some of rock's greatest drummers as they come together in an inspiring rhythmic journey about the power of human connection.,2021,6.8,2303
Untold: Caitlyn Jenner,Crystal Moselle,,TV-PG,70,Caitlyn Jenner's unlikely path to Olympic glory was inspirational. But her more challenging road to embracing her true self proved even more meaningful.,2021,6.5,2981
Boomika,Rathindran R Prasad,"Aishwarya Rajesh, Vidhu, Surya Ganapathy, Madhuri, Pavel Navageethan, Avantika Vandanapu",TV-14,122,"Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think.",2021,5.0,2738
The Witcher: Nightmare of the Wolf,Han Kwang Il,"Theo James, Mary McDonnell, Lara Pulver, Graham McTavish, Tom Canton, David Errigo Jr, Jennifer Hale, Kari Wahlgren, Matt Yang King, Darryl Kurylo, Keith Ferguson",TV-MA,84,"Escaping from poverty to become a witcher, Vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past.",2021,7.2,52336
Man in Love,Yin Chen-hao,"Roy Chiu, Ann Hsu, Tsai Chen-nan, Chung Hsin-ling, Lan Wei-hua, Peace Yang, Huang Lu Tz-yin",TV-MA,115,"When he meets a debt-ridden woman who's caring for her ailing father, a debt collector with a heart of gold sets out to win her love.",2021,7.1,3602
Sweet Girl,Brian Andrew Mendoza,"Jason Momoa, Isabela Merced, Manuel Garcia-Rulfo, Amy Brenneman, Adria Arjona, Raza Jaffrey, Justin Bartha, Lex Scott Davis, Michael Raymond-James",R,110,"He lost the love of his life to a pharmaceutical company's greed. Now his daughter is without a mother, and he's without justice. For now.",2021,5.5,36296
The Loud House Movie,Dave Needham,"Asher Bishop, David Tennant, Michelle Gomez, Jill Talley, Brian Stepanek, Catherine Taber, Liliana Mumy, Nika Futterman, Cristina Pucelli, Jessica DiCicco, Grey Griffin, Lara Jill Miller",TV-Y7,88,"With his parents and all 10 sisters in tow, Lincoln Loud heads to Scotland and learns that royalty runs in the family in this global musical journey!",2021,6.1,3042
Black Island,Miguel Alexandre,"Philip Froissant, Alice Dwyer, Hanns Zischler, Mercedes Müller, Sammy Scheuritzel, Lieselotte Voß, Katharina Schütz, Jodie Leslie Ahlborn, Marco Wittorf, Ilknur Boyraz",TV-MA,105,The dark secrets of a seemingly peaceful island threaten to swallow up an orphaned student when he grows close to a mysterious new teacher.,2021,5.2,3495
Memories of a Murderer: The Nilsen Tapes,Michael Harte,,TV-MA,86,Serial killer Dennis Nilsen narrates his life and horrific crimes via a series of chilling audiotapes recorded from his jail cell.,2021,6.3,4428
The Secret Diary of an Exchange Student,Bruno Garotti,"Larissa Manoela, Thati Lopes, Bruno Montaleone, David Sherod James, Maiara Walsh, Flávia Garrafa, Kathy-Ann Hart, Ray Faiola, Noa Graham",TV-14,97,"Looking to shake things up, two best friends embark on a life-changing adventure abroad as exchange students. But can they stay out of trouble?",2021,5.4,1114
Beckett,Ferdinando Cito Filomarino,"John David Washington, Boyd Holbrook, Alicia Vikander, Vicky Krieps, Lena Kitsopoulou, Panos Koronis, Maria Votti",TV-MA,110,An American tourist goes on the run in Greece after a tragic accident plunges him into a political conspiracy that makes him a target for assassination.,2021,5.7,29244
Lokillo: Nothing's the Same,Julián Gaviria,Lokillo Florez,TV-MA,64,"Through songs and puns, comedian Lokillo Florez hilariously reviews how Latin Americans have adjusted to a new world where no-hugging policies prevail.",2021,5.0,64
