Title,Year,IMDb Rating,IMDb Votes
My Little Pony: A New Generation,2021,6.8,"4,730"
The Starling,2021,6.4,"15,804"
Je Suis Karl,2021,5.6,"1,624"
Confessions of an Invisible Girl,2021,5.3,"1,438"
Intrusion,2021,5.3,"22,287"
Go! Go! Cory Carson: Chrissy Takes the Wheel,2021,N/A,64
Ankahi Kahaniya,2021,5.6,"1,029"
The Father Who Moves Mountains,2021,5.6,"4,290"
The Stronghold,2020,6.9,"14,357"
My Heroes Were Cowboys,2021,6.7,373
Nightbooks,2021,5.8,"10,842"
Schumacher,2021,7.4,"26,033"
A StoryBots Space Adventure,2021,N/A,20
You vs. Wild: Out Cold,2021,5.4,457
Kate,2021,6.2,"72,416"
Prey,2022,7.1,"243,640"
Blood Brothers: Malcolm X & Muhammad Ali,2021,6.9,"1,255"
The Women and the Murderer,2021,6.4,"1,629"
JJ+E,2021,5.4,"2,555"
Untold: Breaking Point,2021,7.6,"3,394"
Worth,2020,6.8,"19,526"
Afterlife of the Party,2021,5.8,"11,032"
Final Account,2020,7.3,"1,791"
"Barbie: Big City, Big Dreams",2021,5.8,578
Thimmarusu: Assignment Vali,2021,7.1,"1,732"
He's All That,2021,4.4,"29,788"
SAS: Rise of the Black Swan,2021,5.3,"22,134"
"Bob Ross: Happy Accidents, Betrayal & Greed",2021,6.9,"6,911"
The River Runner,2021,6.9,"2,116"
The Water Man,2020,5.6,"4,735"
Count Me In,2021,6.8,"2,303"
Untold: Caitlyn Jenner,2021,6.5,"2,981"
Boomika,2021,5.0,"2,738"
The Witcher: Nightmare of the Wolf,2021,7.2,"52,336"
Man in Love,2021,7.1,"3,602"
Sweet Girl,2021,5.5,"36,296"
The Loud House Movie,2021,6.1,"3,042"
Black Island,2021,5.2,"3,495"
Memories of a Murderer: The Nilsen Tapes,2021,6.3,"4,428"
The Secret Diary of an Exchange Student,2021,5.4,"1,114"
Untold: Deal with the Devil,2021,7.3,"2,749"
Beckett,2021,5.7,"29,244"
Lokillo: Nothing's the Same,2021,5.0,64
Monster Hunter: Legends of the Guild,2021,5.2,"1,554"
Misha and the Wolves,2021,6.7,"3,436"
The Kissing Booth 3,2021,4.8,"23,866"
Untold: Malice at the Palace,2021,7.5,"9,658"
